100D	1	3	4	5	6	10	21	29	38	50	68	91	129	170	209	217	174	101	38	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	58	76	20	19	76	94	181	356	284	132	50	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	20	22	16	21	42	90	97	113	113	96	59	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	18	30	0.4976269074332187	0.8237095409913961	10.654815626511306
200D	1	3	3	5	5	10	20	30	42	63	85	109	149	171	188	178	157	135	85	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	45	68	51	59	95	211	295	279	187	124	29	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	19	24	24	54	60	93	111	106	103	86	85	69	36	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	20	44	0.35745981473573085	0.9813702563462321	10.947180318108812
200L	0	0	1	2	4	6	10	18	29	39	54	86	127	176	237	293	338	346	302	224	124	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	9	11	20	33	78	124	139	194	254	299	235	176	81	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	25	14	25	38	83	134	163	194	221	215	125	76	44	4	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	2	2	7	22	39	50	68	106	154	198	263	317	356	359	315	220	103	22	1	0	0	0	0	0	0	0	0	0	0	0	1289	26	18	368	0.42350296542798044	0.979438975515553	15.596392241942572
300D	0	1	3	4	5	9	15	23	32	44	58	82	110	139	182	229	283	307	251	152	68	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	54	38	11	22	83	138	251	297	281	322	272	197	92	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	18	18	14	25	49	68	70	83	111	138	161	138	82	33	11	0	0	0	0	0	0	0	0	0	0	0	0	873	0	39	59	0.46640589929407456	0.7303861782878782	14.70374396028775
101D	1	3	4	4	5	10	20	28	35	46	71	99	139	165	176	175	159	147	118	71	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	86	32	11	63	154	151	330	242	199	163	67	17	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	3	17	21	18	11	20	31	100	119	104	91	84	70	49	37	13	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	22	36	0.2745424309470642	0.9826263773789178	12.152784639815364
101M	0	0	1	2	3	6	10	20	29	37	56	86	127	181	243	308	362	374	311	177	49	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	18	21	40	84	82	113	214	277	286	260	131	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	27	41	55	57	93	148	189	237	275	188	124	18	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	1	2	7	21	42	55	71	114	169	219	289	350	392	375	284	139	37	3	0	0	0	0	0	0	0	0	0	0	0	0	1221	23	20	358	0.6145903286746074	0.730965167264278	14.704890402432454
201L	0	0	1	2	4	6	10	18	28	39	55	87	129	177	239	293	338	345	301	228	131	37	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	16	38	82	111	142	208	253	297	243	171	92	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	17	20	32	41	74	148	164	193	215	213	123	73	44	4	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	2	2	8	22	39	52	69	109	156	203	263	322	355	355	314	224	107	24	1	0	0	0	0	0	0	0	0	0	0	0	1309	26	18	374	0.41524291626613163	0.9878359458037458	15.644910855294
201L	0	0	1	2	3	6	11	17	27	40	54	84	128	175	236	293	340	351	310	237	131	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	15	24	23	71	119	146	209	254	297	232	178	90	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	15	16	37	39	74	140	163	199	207	204	139	73	43	5	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	2	2	8	21	40	51	67	107	155	200	264	322	358	363	325	228	107	23	1	0	0	0	0	0	0	0	0	0	0	0	1326	26	18	379	0.4340005060291025	0.9915870122818734	15.726927184442193
301D	0	1	3	3	4	9	16	22	31	42	57	78	109	140	185	230	282	307	253	155	69	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	51	44	9	21	82	133	237	309	281	319	277	201	96	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	16	17	14	25	42	71	70	86	110	138	160	141	83	34	11	1	0	0	0	0	0	0	0	0	0	0	0	873	0	39	59	0.47651346679341916	0.726098642976581	14.772123924018945
102D	1	3	4	5	5	9	20	27	34	45	70	97	139	165	176	177	158	148	121	72	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	86	31	8	61	154	145	339	242	194	172	66	17	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	4	19	22	21	10	27	40	106	137	117	88	83	79	57	32	10	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	22	42	0.2742447848981857	0.976648934991987	12.219639468274446
